year,state,type,runoff,office,name,party,inc,w_g,vote_g,nextup
2022,OK,G,NA,G,"STITT, KEVIN",R,1,1,639484,2026
2022,OK,G,NA,G,"HOFMEISTER, JOY",D,0,0,481904,2026
2022,OK,G,NA,G,"YEN, ERVIN STONE",Independent,0,0,15653,2026
2022,OR,G,NA,G,"KOTEK, TINA",D,0,1,917074,2026
2022,OR,G,NA,G,"SMITH, DONICE NOELLE",CSV,0,0,8051,2026
2022,OR,G,NA,G,"NOBLE, R. LEON",Lbt,0,0,6867,2026
2022,OR,G,NA,G,"JOHNSON, BETSY",Independent,0,0,168431,2026
2022,OR,G,NA,G,"CHRISTINE, DRAZEN",R,0,0,850347,2026
2022,PA,G,NA,G,"SHAPIRO, JOSHUA D. (JOSH)",D,0,1,3031137,2026
2022,PA,G,NA,G,"MASTRIANO, DOUGLAS V.",R,0,0,2238477,2026
2022,PA,G,NA,G,"HACKENBURG, JONATHAN MATTHEW",Lbt,0,0,51611,2026
2022,PA,G,NA,G,"DIGIULIO, CHRISTINA PK",Green,0,0,24436,2026
2022,PA,G,NA,G,"SOLOSKI, JOSEPH P.",Keystone,0,0,20518,2026
2022,RI,G,NA,G,"MCKEE, DANIEL J. (DAN)",D,3,1,207166,2026
2022,RI,G,NA,G,"KALUS, ASHLEY MARIE",R,0,0,139001,2026
2022,RI,G,NA,G,"HURWITZ, ZACHARY BAKER",Indpendent,0,0,4512,2026
2022,RI,G,NA,G,"RIANNA, PAUL A., JR.",Indpendent,0,0,3123,2026
2022,RI,G,NA,G,"GIZZARELLI, ELIJAH J.",Lbt,0,0,2811,2026
2022,SC,G,NA,G,"MCMASTER, HENRY D.",R,1,1,988501,2026
2022,SC,G,NA,G,"REEVES, BRUCE",Lbt,0,0,20826,2026
2022,SC,G,NA,G,"CUNNINGHAM, JOE",D,0,0,692691,2026
2022,SD,G,NA,G,"SMITH, JAMIE",D,0,0,123148,2026
2022,SD,G,NA,G,"QUINT, TRACEY",Lbt,0,0,9983,2026
2022,SD,G,NA,G,"NOEM, KRISTI LYNN",R,1,1,217035,2026
2022,TN,G,NA,G,"LEE, BILL",R,1,1,1129390,2026
2022,TN,G,NA,G,"MARTIN, JASON BRANTLEY",D,0,0,572818,2026
2022,TN,G,NA,G,"EVERY, CONSTANCE M.",Independent,0,0,10277,2026
2022,TN,G,NA,G,"GENTRY, JOHN",Independent,0,0,15395,2026
2022,TN,G,NA,G,"MARCEAUX, BASIL",Independent,0,0,1568,2026
2022,TN,G,NA,G,"VAN MORGAN, CHARLES",Independent,0,0,1862,2026
2022,TN,G,NA,G,"O'NEIL, ALFRED",Independent,0,0,1216,2026
2022,TN,G,NA,G,"ROUSE, DEBORAH",Independent,0,0,3772,2026
2022,TN,G,NA,G,"SCANTLAND, MICHAEL E.",Independent,0,0,815,2026
2022,TN,G,NA,G,"TYLER, RICK",Independent,0,0,2380,2026
