year,state,party,name,inc,party_formal,candidatevotes
2008,VT,D,"OBAMA, BARACK",0,D,219262
2008,VT,Lbt,"BARR, BOB",0,Lbt,1067
2008,VT,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,500
2008,VT,Other,"CALERO, ROGER",0,Socialist Workers,150
2008,VT,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,149
2008,VT,Other,"MOORE, BRIAN",0,Liberty Union Party,141
2008,VT,Other,"NADER, RALPH",0,Independent,3339
2008,VT,R,"MCCAIN, JOHN S.",0,R,98974
2008,WA,D,"OBAMA, BARACK",0,D,1750848
2008,WA,Lbt,"BARR, BOB",0,Lbt,12728
2008,WA,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,9432
2008,WA,Other,"HARRIS, JAMES",0,Socialist Workers,641
2008,WA,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,705
2008,WA,Other,"MCKINNEY, CYNTHIA",0,Grn,3819
2008,WA,Other,"NADER, RALPH",0,Independent,29489
2008,WA,R,"MCCAIN, JOHN S.",0,R,1229216
2008,WI,D,"OBAMA, BARACK",0,D,1677211
2008,WI,Lbt,"BARR, BOB",0,Lbt,8858
2008,WI,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,5072
2008,WI,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,237
2008,WI,Other,"MCKINNEY, CYNTHIA",0,Grn,4216
2008,WI,Other,"MOORE, BRIAN",0,Socialist Party Usa,540
2008,WI,Other,"NADER, RALPH",0,Independent,17605
2008,WI,Other,"WAMBOLDT, JEFFREY",0,We The People,764
2008,WI,R,"MCCAIN, JOHN S.",0,R,1262393
2008,WV,D,"OBAMA, BARACK",0,D,303857
2008,WV,Other,"BALDWIN, CHARLES (CHUCK)",0,Constitution Party,2465
2008,WV,Other,"MCKINNEY, CYNTHIA",0,Mountain Party,2355
2008,WV,Other,"NADER, RALPH",0,Independent,7219
2008,WV,R,"MCCAIN, JOHN S.",0,R,397466
2008,WY,D,"OBAMA, BARACK",0,D,82868
2008,WY,Lbt,"BARR, BOB",0,Lbt,1594
2008,WY,Other,NA,0,Independent,3717
2008,WY,R,"MCCAIN, JOHN S.",0,R,164958
2012,AK,D,"OBAMA, BARACK",1,D,122640
2012,AK,Lbt,"JOHNSON, GARY",0,Lbt,7392
2012,AK,Other,"STEIN, JILL",0,Grn,2917
2012,AK,R,"ROMNEY, MITT",0,R,164676
2012,AL,D,"OBAMA, BARACK",1,D,795696
2012,AL,Other,NA,0,Independent,18706
2012,AL,R,"ROMNEY, MITT",0,R,1255925
2012,AR,D,"OBAMA, BARACK",1,D,394409
2012,AR,Lbt,"JOHNSON, GARY",0,Lbt,16276
2012,AR,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,1734
2012,AR,Other,"STEIN, JILL",0,Grn,9305
2012,AR,R,"ROMNEY, MITT",0,R,647744
2012,AZ,D,"OBAMA, BARACK",1,D,1025232
2012,AZ,Lbt,"JOHNSON, GARY",0,Lbt,32100
2012,AZ,Other,"STEIN, JILL",0,Grn,7816
2012,AZ,R,"ROMNEY, MITT",0,R,1233654
2012,CA,D,"OBAMA, BARACK",1,D,7854285
2012,CA,Lbt,"JOHNSON, GARY",0,Lbt,143221
2012,CA,Other,"BARR, ROSEANNE",0,Peace & Freedom,53824
2012,CA,Other,"HOEFLING, THOMAS CONRAD (TOM)",0,American Independent Party,38372
2012,CA,Other,"STEIN, JILL",0,Grn,85638
2012,CA,R,"ROMNEY, MITT",0,R,4839958
2012,CO,D,"OBAMA, BARACK",1,D,1323101
2012,CO,Lbt,"JOHNSON, GARY",0,Lbt,35545
2012,CO,Other,"ALEXANDER, STEWART",0,Socialist,308
2012,CO,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,1262
2012,CO,Other,"BARR, ROSEANNE",0,Peace & Freedom,5057
2012,CO,Other,"GOODE, VIRGIL HAMLIN, JR.",0,American Constitution Party,6234
2012,CO,Other,"HARRIS, JAMES",0,Socialist Workers,192
2012,CO,Other,"HOEFLING, THOMAS CONRAD (TOM)",0,America's Party,679
2012,CO,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,317
2012,CO,Other,"MILLER, MERLIN",0,American Third Position,267
2012,CO,Other,"REED, JILL ANN",0,No Party Affiliation,2588
2012,CO,Other,"STEIN, JILL",0,Grn,7508
2012,CO,Other,"STEVENS, THOMAS ROBERT (TOM)",0,Objectivist Party,235
2012,CO,Other,"TITTLE, SHEILA (SAMM)",0,We The People,791
2012,CO,Other,"WHITE, JERRY",0,Socialist Equality Party,189
2012,CO,R,"ROMNEY, MITT",0,R,1185243
2012,CT,D,"OBAMA, BARACK",1,D,905083
2012,CT,Lbt,"JOHNSON, GARY",0,Lbt,12340
2012,CT,Other,NA,0,Independent,4971
2012,CT,R,"ROMNEY, MITT",0,R,634892
2012,DC,D,"OBAMA, BARACK",1,D,267070
2012,DC,Lbt,"JOHNSON, GARY",0,Lbt,2083
2012,DC,Other,"STEIN, JILL",0,D.c. Statehood Green,2458
2012,DC,R,"ROMNEY, MITT",0,R,21381
2012,DE,D,"OBAMA, BARACK",1,D,242584
2012,DE,Lbt,"JOHNSON, GARY",0,Lbt,3882
2012,DE,Other,"STEIN, JILL",0,Grn,1940
2012,DE,R,"ROMNEY, MITT",0,R,165484
2012,FL,D,"OBAMA, BARACK",1,D,4237756
2012,FL,Lbt,"JOHNSON, GARY",0,Lbt,44726
2012,FL,Other,"ALEXANDER, STEWART",0,Socialist,799
2012,FL,Other,"ANDERSON, ROSS CARL (ROCKY)",0,Justice,1754
2012,FL,Other,"BARNETT, ANDRE",0,Reform Party,820
2012,FL,Other,"BARR, ROSEANNE",0,Peace & Freedom,8154
2012,FL,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2607
2012,FL,Other,"HOEFLING, THOMAS CONRAD (TOM)",0,American Independent,946
2012,FL,Other,"LINDSAY, PETA",0,Socialism And Liberation Party,322
2012,FL,Other,"STEIN, JILL",0,Grn,8947
2012,FL,Other,"STEVENS, THOMAS ROBERT (TOM)",0,Objectivist Party,3856
2012,FL,R,"ROMNEY, MITT",0,R,4163447
2012,GA,D,"OBAMA, BARACK",1,D,1773827
2012,GA,Lbt,"JOHNSON, GARY",0,Lbt,45324
2012,GA,R,"ROMNEY, MITT",0,R,2078688
2012,HI,D,"OBAMA, BARACK",1,D,306658
2012,HI,Lbt,"JOHNSON, GARY",0,Lbt,3840
2012,HI,Other,"STEIN, JILL",0,Grn,3184
2012,HI,R,"ROMNEY, MITT",0,R,121015
2012,IA,D,"OBAMA, BARACK",1,D,822544
2012,IA,Lbt,"JOHNSON, GARY",0,Lbt,12926
2012,IA,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,3038
2012,IA,Other,"HARRIS, JAMES",0,Socialist Workers,445
2012,IA,Other,"LA RIVA, GLORIA ESTELLA",0,Socialism And Liberation Party,372
2012,IA,Other,"STEIN, JILL",0,Grn,3769
2012,IA,Other,NA,0,Nominated By Petition,1027
2012,IA,R,"ROMNEY, MITT",0,R,730617
2012,ID,D,"OBAMA, BARACK",1,D,212787
2012,ID,Lbt,"JOHNSON, GARY",0,Lbt,9453
2012,ID,Other,"GOODE, VIRGIL HAMLIN, JR.",0,Constitution Party,2222
2012,ID,Other,NA,0,Independent,6901
2012,ID,R,"ROMNEY, MITT",0,R,420911
2012,IL,D,"OBAMA, BARACK",1,D,3019512
2012,IL,Lbt,"JOHNSON, GARY",0,Lbt,56229
2012,IL,Other,"STEIN, JILL",0,Grn,30222
2012,IL,R,"ROMNEY, MITT",0,R,2135216
2012,IN,D,"OBAMA, BARACK",1,D,1152887
2012,IN,Lbt,"JOHNSON, GARY",0,Lbt,50111
2012,IN,R,"ROMNEY, MITT",0,R,1420543
2012,KS,D,"OBAMA, BARACK",1,D,440726
